link,rad,autor,Comisión y estado 
,,,"POR MEDIO DE LA CUAL SE ESTABLECEN MEDIDAS PARA GARANTIZAR EL ACCESO AL AGUA PARA CONSUMO HUMANO Y SANEAMIENTO BÁSICO EN EL DEPARTAMENTO DE LA GUAJIRA

F Radicado: 22 Noviembre 2023 | N° Senado: 197/23 acumulado con el 207/23 | N° Camara:
Autor: H.S. MARTHA ISABEL PERALTA EPIEYÚ, OMAR DE JESÚS RESTREPO CORREA, ESMERALDA HERNÁNDEZ SILVA, BERENICE BEDOYA PÉREZ, JAEL QUIROGA CARRILLO, ALEX XAVIER FLÓREZ HERNÁNDEZ, WILSON NEVER ARIAS CASTILLO, SANDRA YANETH JAIMES CRUZ, DIDIER LOBO CHINCHILLA, CLARA LÓPEZ OBREGÓN, IMELDA DAZA COTES, ISABEL CRISTINA ZULETA LÓPEZ, INTI RAÚL ASPRILLA REYES, MARÍA JOSÉ PIZARRO RODRÍGUEZ, JOSUÉ ALIRIO BARRERAS RODRÍGUEZ, JOSÉ VICENTE CARREÑO CASTRO, JULIO CÉSAR ESTRADA CORDERO, GLORIA INÉS FLÓREZ SCHNEIDER, CARLOS ALBERTO BENAVIDES MORA, ROBERT DAZA GUEVARA, ESTEBAN QUINTERO CARDONA, KARINA ESPINOSA OLIVER, H.R. HERACLITO LANDINEZ SUÁREZ, MARÍA DEL MAR PIZARRO GARCÍA, DAVID ALEJANDRO TORO RAMÍREZ, GABRIEL BECERRA YAÑEZ, PEDRO JOSÉ SUÁREZ VACCA, ANDRÉS CANCIMANCE LÓPEZ y otras firmas ilegibles."
,F Radicado: 09 Agosto 2023 | N° Senado: 094/23 | N° Camara: 261/24,,SEPTIMA
,,,"ARCHIVADO
Art 190 Ley 5 de 1992 (No se discutió Ponencia para Primer debate en Senado)"
,F Radicado: 01 Agosto 2023 | N° Senado: 053/23 | N° Camara:,,"POR MEDIO DEL CUAL SE ESTABLECEN LINEAMIENTOS PARA LA DIGNIFICACIÓN LABORAL DEL TRABAJO SEXUAL EN COLOMBIA Y SE DICTAN OTRAS DISPOSICIONES

F Radicado: 17 Octubre 2023 | N° Senado: 186/23 | N° Camara:
Autor: H.S. SANDRA RAMÍREZ LOBO SILVA, JULIAN GALLO CUBILLOS, PABLO CATATUMBO TORRES, H.R. CARLOS ALBERTO CARREÑO, JAIRO REINALDO CALA, LUIS ALBERTO ALBÁN, OMAR DE JESÚS RESTREPO, GERMÁN GÓMEZ, PEDRO BARACUTAO."
,,,SEPTIMA
,F Radicado: 24 Julio 2023 | N° Senado: 009/23 | N° Camara: 207/24,,"PENDIENTE DISCUTIR PONENCIA PARA SEGUNDO DEBATE EN SENADO
CONCEPTO JURÍDICO Belisario Velásquez y & Asociados S.A.S Gaceta 1669/24 - SOC. COL. DE MEDICINA DEL TRABAJO Gaceta 1667/24"
,,,"POR MEDIO DE LA CUAL SE BUSCA GARANTIZAR EL RECONOCIMIENTO Y PAGO DE LA PENSIÓN ESPECIAL DE VEJEZ POR OCUPACIONES DE ALTO RIESGO, PARA LA SALUD Y SE DICTAN OTRAS DISPOSICIONES

F Radicado: 26 Septiembre 2023 | N° Senado: 163/23 | N° Camara:
Autor: H.S. OMAR DE JESUS RESTREPO CORREA, ROBERT DAZA GUEVARA, JULIAN GALLO CUBILLOS, SANDRA RAMIREZ LOBO SILVA, FABIAN DIAZ PLATA, CARLOS ALBERTO BENAVIDES MORA, MARTHA ISABEL PERALTA EPIEYÚ, PABLO CATATUMBO TORRES, IMELDA DAZA COTES, H.R. GERMAN JOSE GOMEZ LÓPEZ,CARLOS ALBERTO CARREÑO,LEYLA MARLENI RINCON TRUJILLO,LUIS ALBERTO ALBAN,JAIRO REINALDO CALA,PEDRO BARACUTAO,ANDRES CACIMANCE LOPEZ,GABRIEL PARRADO,PEDRO BARACUTAO,MARIA FERNANDA CARRASCAL ROJAS"
,,,QUINTA
,,,"PENDIENTE RENDIR PONENCIA PARA PRIMER DEBATE EN CÁMARA
ENVIADO EL 15 DE AGOSTO DE 2024"
,,,"POR LA CUAL SE CREAN LOS CENTROS REGIONALES DE BIENESTAR ANIMAL, SE FORMULAN LINEAMIENTOS PARA SU ADECUACIÓN, OPERACIÓN Y FUNCIONAMIENTO, Y SE DICTAN OTRAS DISPOSICIONES

F Radicado: 19 Septiembre 2023 | N° Senado: 144/23 | N° Camara: 218/24
Autor: H.S. ANDREA PADILLA VILLARRAGA, OMAR DE JESÚS RESTREPO CORREA, FABIAN DIAZ PLATA, ANGÉLICA LOZANO CORREA, SOLEDAD TAMAYO TAMAYO, CLAUDIA PÉREZ GIRALDO"
,,,SEXTA
,,,PENDIENTE DISCUTIR PONENCIA PARA SEGUNDO DEBATE EN SENADO
,,,"POR MEDIO DE LA CUAL SE EXPIDE EL CÓDIGO DE ÉTICA PARA EL EJERCICIO DE LA FISIOTERAPIA EN COLOMBIA

F Radicado: 13 Septiembre 2023 | N° Senado: 141/23 | N° Camara:
Autor: SANDRA RAMÍREZ LOBO SILVA, IMELDA DAZA COTES, JULIÁN GALLO CUBILLOS, OMAR DE JESÚS RESTREPO, PABLO CATATUMBO TORRES VICTORIA, H.R. CARLOS ALBERTO CARREÑO MARÍN, LUIS ALBERTO ALBÁN URBANO, JAIRO REINALDO CALA SUÁREZ, PEDRO BARACUTAO GARCÍA OSPINA, GERMÁN GÓMEZ LÓPEZ."
,,,SEPTIMA
,,,"PENDIENTE RENDIR PONENCIA PARA PRIMER DEBATE EN CÁMARA
enviado a cámara el 28 de agosto de 2024"
,,,"POR LA CUAL SE DICTAN DISPOSICIONES ESPECIALES PARA LA CONSOLIDACIÓN Y MEJORAMIENTO DEL HÁBITAT, LA CONSTRUCCIÓN Y EL RECONOCIMIENTO DE LA PROPIEDAD SOBRE LA VIVIENDA DE INTERES SOCIAL Y PRIORITARIO RURAL (VIS-VIP) EN EL TERRITORIO NACIONAL Y SE DICTAN OTRAS DISPOSICIONES

F Radicado: 09 Agosto 2023 | N° Senado: 094/23 | N° Camara: 261/24
Autor: H.S. DAVID ANDRES LUNA SANCHEZ, MARTHA PERALTA EPIEYU"
,,,SEPTIMA
,,,"ARCHIVADO
Art 190 Ley 5 de 1992 (No se discutió Ponencia para Primer debate en Senado)"
,,,"POR MEDIO DE LA CUAL SE MODIFICA EL ARTÍCULO 430 DEL CÓDIGO SUSTANTIVO DEL TRABAJO, PROHIBICIÓN DE LA HUELGA EN LOS SERVICIOS PÚBLICOS ESENCIALES

F Radicado: 01 Agosto 2023 | N° Senado: 053/23 | N° Camara:
Autor: H.S. MARÍA FERNANDA CABAL MOLINA, PALOMA VALENCIA LASERNA, H.R. CRISTIAN GARCÉS ALJURE, HERNAN DARÍO CADAVID MÁRQUEZ."
,,,SEXTA
,,,"PENDIENTE RENDIR PONENCIA PARA PRIMER DEBATE EN CÁMARA
ENVIADO A CAMARA EL 14 DE AGOSTO DE 2024"
,,,"MEDIANTE LA CUAL SE MODIFICA LA LEY 1523 DE 2012, RECONOCIENDO E INCLUYENDO A LOS ANIMALES DENTRO DE LA POLÍTICA DE GESTIÓN DE RIESGOS DE DESASTRE Y SE DICTAN OTRAS DISPOSICIONES

F Radicado: 24 Julio 2023 | N° Senado: 009/23 | N° Camara: 207/24
Autor: H.S. ESMERALDA HERNÁNDEZ SILVA, PEDRO HERNANDO FLÓREZ PORRAS, CLARA EUGENIA LÓPEZ OBREGÓN, CATALINA PÉREZ PÉREZ, OMAR DE JESÚS RESTREPO, ISABEL CRISTINA ZULETA LÓPEZ, PIEDAD CÓRDOBA RUÍZ, AÍDA AVELLA ESQUIVEL, MARÍA JOSÉ PIZARRO RODRÍGUEZ, AIDA MARINA QUILCUE VIVAS, SANDRA RAMIREZ LOBO SILVA, H.R. ALIRIO URIBE MUÑÓZ, EDUARD SARMIENTO HIDALGO, ERICK ADRIAN VELASCO BURBANO, LISBETH ALFONSO JURADO, ANDRÉS CANCIMANCE LÓPEZ, HERÁCLITO LANDINEZ SUÁREZ, GABRIEL BECERRA YAÑEZ, MARIA DEL MAR PIZARRO GARCÍA, ALEJANDRO OCAMPO GIRALDO, AGMETH SCAFF TIJERINO, MARIA FERNANDA CARRASCAL ROJAS, PEDRO SUÁREZ VACCA, NORMAL BAÑOL ÁLVAREZ, y otras firmas ilegibles."
